Energy_Use_kWh,Height,Year_Built,Longitude,Latitude,Name,Area_m,Occupants,apartments,parking,stadium,university,utility,warehouse,Building_Length_m,Orientation (degrees north) ,Relative Compactness,Tree_Canopy,Land_Surface_Temp
1550000,38.76,2018,-122.3115589,47.66041813,New Burke Museum,10846.98267,583.5676676,0,0,0,1,0,0,250,179,0.02,1,27.53986323
237000,22.71,1927,-122.3066354,47.65960332,Hutchinson Hall,5124.901092,275.7196787,0,0,0,1,0,0,289,45,0.06,2,27.31800265
3640000,27.2,1968,-122.301284,47.65367588,IMA,26881.20434,1446.208793,0,0,0,1,0,0,591,78,0.02,0,31.60119602
872000,31.21,2012,-122.3151115,47.65659868,Elm Hall,19232.50035,540.4332598,1,0,0,0,0,0,233,89,0.01,0,26.45883672
3180000,36.06,2012,-122.3098757,47.6543609,Molecular Engineering Building,8389.1409,451.3357804,0,0,0,1,0,0,162,25,0.02,0,26.06265713
283000,25.44,1922,-122.3063339,47.65720052,Miller Hall,6749.867465,363.1428696,0,0,0,1,0,0,189,134,0.03,0,25.01394645
2710000,34.03,2003,-122.3109124,47.65922524,William H Gates Hall,19520.49965,1050.202881,0,0,0,1,0,0,401,89,0.02,0,26.09901243
1300000,32.76,2010,-122.3086637,47.65912691,Paccar Hall,12541.905,674.754489,0,0,0,1,0,0,271,44,0.02,3,24.11780375
2370000,26.5,1936,-122.3065297,47.66079295,Hansee Hall,10346.04969,290.7239963,1,0,0,0,0,0,558,90,0.05,23,25.82961031
575000,34.13,1988,-122.3010818,47.65229192,Graves Annex Building,2982.000494,160.4316266,0,0,0,1,0,0,230,76,0.08,0,30.13828346
1660000,36.06,2017,-122.3098167,47.65464178,Nanoengineering Building,8361.27,449.836326,0,0,0,1,0,0,174,115,0.02,0,26.12697805
553000,32.93,1939,-122.3071524,47.65665413,Smith Hall,8617.403571,463.6163121,0,0,0,1,0,0,201,135,0.02,3,24.86666086
332000,23.41,1948,-122.3058414,47.65655967,Thomson Hall,5823.810361,313.3209974,0,0,0,1,0,0,156,45,0.03,9,23.44466096
54300,10,1967,-122.3033638,47.6571344,Padelford Parking Garage,10577.37816,0,0,1,0,0,0,0,412,129,0.04,8,25.30748186
1240000,30.49,1929,-122.3169298,47.6551694,Henderson Hall,9879.30502,531.5066101,0,0,0,1,0,0,252,179,0.03,0,26.68597968
715000,30.49,2015,-122.3170355,47.65569006,Terry Hall,10033.524,306.022482,1,0,0,0,0,0,187,179,0.02,5,26.22734355
1930000,42.35,2015,-122.3161786,47.65567383,Maple Hall,20159.951,566.4946231,1,0,0,0,0,0,380,89,0.02,0,26.52937222
1520000,31.07,2012,-122.3138578,47.65566968,Alder Hall,25654.79184,720.8996507,1,0,0,0,0,0,344,89,0.01,0,27.24311694
948000,28.08,2011,-122.3158914,47.65715566,Cedar East Apartments,7286.846805,204.7603952,1,0,0,0,0,0,148,179,0.02,0,26.65490677
898000,30.79,2011,-122.3140598,47.65655006,Poplar Hall,9015.30712,253.3301301,1,0,0,0,0,0,184,179,0.02,0,27.64582185
3750000,37.48,1930,-122.3088842,47.65444218,Johnson Hall,11294.49642,607.6439074,0,0,0,1,0,0,339,25,0.03,13,26.29477176
1440000,28.62,1967,-122.3042538,47.65699966,Padelford Hall,12872.17517,692.5230241,0,0,0,1,0,0,452,103,0.04,23,25.15936766
1280000,34.12,1997,-122.3077507,47.6595355,Bank of America Executive Education Center,6091.278098,327.7107617,0,0,0,1,0,0,103,134,0.02,38,25.09318236
